model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
togethercomputer/evo-1-131k-base,-9.057099,19.717766,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7954309090655141,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/evo-1-8k-crispr,8.067631,4.1766896,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/evo-1-8k-transposon,8.808493,4.6981606,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p8_ee24_lr50_euc,8,24,50,euclidean,pca
zhihan1996/DNABERT-2-117M,4.060313,-1.4874557,V_d,tsne,DNABERT-2,mlm_or_encoder,zhihan1996,0.8127822928989513,p8_ee24_lr50_euc,8,24,50,euclidean,pca
zhihan1996/DNABERT-S,27.556458,-37.388348,V_d,tsne,DNABERT-S,mlm_or_encoder,zhihan1996,0.8142663811505192,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/moderngena-base,2.582263,5.2808914,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.856891141667942,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/moderngena-large,-11.4120245,11.474692,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.8411760746474787,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base-lastln-t2t,-7.6238747,5.3598194,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8804501385629268,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base-t2t,-8.998479,4.4300146,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.875354209820089,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base,-5.4998727,1.953801,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.876633315294654,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base-t2t-multi,-9.029909,6.022778,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8818294243347937,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-large-t2t,-7.5189013,6.977008,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8802055036982036,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bigbird-base-t2t,-9.503829,7.5925627,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8564414615903444,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base-fly,-14.453865,15.278294,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8798749389495737,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base-athaliana,8.731062,-4.9266953,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8631545556160756,p8_ee24_lr50_euc,8,24,50,euclidean,pca
AIRI-Institute/gena-lm-bert-base-yeast,22.747551,-38.138103,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.7947921711334538,p8_ee24_lr50_euc,8,24,50,euclidean,pca
PoetschLab/GROVER,-5.8362374,0.42143485,V_d,tsne,GROVER,mlm_or_encoder,PoetschLab,0.8671038447106474,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/PlantCAD2-Small-l24-d0768,-26.697824,2.6801064,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8884170475709195,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/PlantCAD2-Medium-l48-d1024,-27.72518,1.5038633,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8850322169556907,p8_ee24_lr50_euc,8,24,50,euclidean,pca
kuleshov-group/PlantCAD2-Large-l48-d1536,-28.529884,2.5393126,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8885135504845132,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERator-v2-eukaryote-1.2b-base,-13.820672,35.62244,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9160398018093819,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERator-v2-eukaryote-3b-base,-14.848149,37.39613,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9258188828698207,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERator-v2-prokaryote-1.2b-base,14.045283,-1.8684506,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8475775736175143,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERator-v2-prokaryote-3b-base,14.43366,0.16842951,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8647661365519584,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERator-eukaryote-1.2b-base,-12.594537,35.965015,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9123506614793109,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERator-eukaryote-3b-base,-13.573739,37.770966,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9195296385996374,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERanno-prokaryote-0.5b-base,-23.401623,18.099731,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8817084154138367,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenerTeam/GENERanno-eukaryote-0.5b-base,3.6459057,8.987355,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8500129962518695,p8_ee24_lr50_euc,8,24,50,euclidean,pca
DOEJGI/GenomeOcean-100M-v1.2,-11.188933,20.094566,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8707547235495641,p8_ee24_lr50_euc,8,24,50,euclidean,pca
DOEJGI/GenomeOcean-500M-v1.2,-10.669344,22.80836,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8839444626248475,p8_ee24_lr50_euc,8,24,50,euclidean,pca
DOEJGI/GenomeOcean-500M,-11.837728,21.503403,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8824030266739168,p8_ee24_lr50_euc,8,24,50,euclidean,pca
DOEJGI/GenomeOcean-100M,-10.950011,18.643658,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8777694806568301,p8_ee24_lr50_euc,8,24,50,euclidean,pca
DOEJGI/GenomeOcean-4B,-11.991553,23.698141,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8856784906711255,p8_ee24_lr50_euc,8,24,50,euclidean,pca
DOEJGI/GenomeOcean-4B-bgcFM,-7.6261134,21.335884,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8792286539634104,p8_ee24_lr50_euc,8,24,50,euclidean,pca
ZhejiangLab/Genos-10B-v2,4.095168,-31.155294,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8866037169308743,p8_ee24_lr50_euc,8,24,50,euclidean,pca
ZhejiangLab/Genos-10B,3.6291313,-32.015114,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8923154127981832,p8_ee24_lr50_euc,8,24,50,euclidean,pca
ZhejiangLab/Genos-1.2B,2.1522665,-25.751326,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8659398847468603,p8_ee24_lr50_euc,8,24,50,euclidean,pca
ZhejiangLab/OneGenome-Rice,-24.437183,6.0760884,V_d,tsne,OneGenome,ar_or_generative,ZhejiangLab,0.851005834096549,p8_ee24_lr50_euc,8,24,50,euclidean,pca
genbio-ai/AIDO.DNA-7B,-17.264032,25.194447,V_d,tsne,AIDO.DNA,mlm_or_encoder,genbio-ai,0.8955860595416295,p8_ee24_lr50_euc,8,24,50,euclidean,pca
genbio-ai/AIDO.DNA-300M,-14.553784,16.580702,V_d,tsne,AIDO.DNA,mlm_or_encoder,genbio-ai,0.8969643969999578,p8_ee24_lr50_euc,8,24,50,euclidean,pca
Mishamq/HybriDNA-300M,23.058558,-26.416656,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8287939984167011,p8_ee24_lr50_euc,8,24,50,euclidean,pca
Mishamq/HybriDNA-3B,22.467583,-21.993748,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8946934034815327,p8_ee24_lr50_euc,8,24,50,euclidean,pca
Mishamq/HybriDNA-7B,27.394926,-21.355934,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8429952129330213,p8_ee24_lr50_euc,8,24,50,euclidean,pca
living-models/Botanic0-L,-24.243359,1.5900451,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8817735814987914,p8_ee24_lr50_euc,8,24,50,euclidean,pca
living-models/Botanic0-M,-23.024624,2.4700785,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8888156475711413,p8_ee24_lr50_euc,8,24,50,euclidean,pca
living-models/Botanic0-S,-19.481739,4.269147,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8922605273901404,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-goat-5races,28.272587,-30.461332,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7151140407337319,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-cow-5races,26.718555,-29.800508,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7295038417692249,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-pig-13races,26.45187,-28.461212,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7560749499657892,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-hg38,26.589441,-33.072426,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6522743549122137,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-hg38,9.764962,-12.318202,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8120933659253847,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-1M-hg38,11.200033,-20.846878,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7652417340533012,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-lncRNA,28.143436,-28.384447,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7336237875938862,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-417M-Athaliana,21.784557,-33.614773,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6657346162922085,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-virus,26.061539,-24.070084,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.5944237064486142,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-noncoding,-25.255299,18.538464,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8069298647587365,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-bacteriophage,26.818392,-25.267792,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6028566584580207,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-plasmid,24.187075,-23.688053,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6587029529951741,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-yeast,23.37813,-36.191135,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7072246572524645,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-bacteria,14.727111,-9.934517,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7144042532624235,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-422M-hg38,31.046665,-31.468533,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8506983197541412,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-117M-Athaliana,24.828075,-35.15148,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6632138434294502,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-117M-hg38,7.051494,-14.524013,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.8337786903776166,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/ModernBert-DNA-v1-37M-virus,25.167841,-25.169355,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.7175569356285602,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-37M-Athaliana,20.363928,-35.61116,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6703268332023103,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-37M-hg38,27.445766,-35.27482,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6887707783859928,p8_ee24_lr50_euc,8,24,50,euclidean,pca
RaphaelMourad/Jamba-DNA-v1-114M-hg38,6.022958,-18.207682,V_d,tsne,Jamba-DNA,ar_or_generative,RaphaelMourad,0.8491731838293114,p8_ee24_lr50_euc,8,24,50,euclidean,pca
plant-llms/PlantBiMoE,-24.43343,3.9158728,V_d,tsne,PlantBiMoE,mlm_or_encoder,plant-llms,0.8831416997893283,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenSLM-25M,13.467796,-5.758998,V_d,tsne,GenSLM,ar_or_generative,GenSLM,0.8187124537715601,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenSLM-250M,14.763609,-5.747048,V_d,tsne,GenSLM,ar_or_generative,GenSLM,0.8332770033831376,p8_ee24_lr50_euc,8,24,50,euclidean,pca
GenSLM-2.5B,14.0369625,-4.4616647,V_d,tsne,GenSLM,ar_or_generative,GenSLM,0.8577640682538047,p8_ee24_lr50_euc,8,24,50,euclidean,pca
Hengchang-Liu/D3LM-from-nt,-2.9923894,3.1672075,V_d,tsne,D3LM,mlm_or_encoder,Hengchang-Liu,0.8832184453373992,p8_ee24_lr50_euc,8,24,50,euclidean,pca
Hengchang-Liu/D3LM-scratch,13.563745,-16.676756,V_d,tsne,D3LM,mlm_or_encoder,Hengchang-Liu,0.8586873230205744,p8_ee24_lr50_euc,8,24,50,euclidean,pca
JadenLong/MutBERT,-5.429954,-12.888229,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,0.8981685232496104,p8_ee24_lr50_euc,8,24,50,euclidean,pca
JadenLong/MutBERT-Multi,-5.6401687,-11.30733,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,0.8864963088581912,p8_ee24_lr50_euc,8,24,50,euclidean,pca
JadenLong/MutBERT-Human-Ref,-6.5726423,-12.607378,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,0.8982997255603392,p8_ee24_lr50_euc,8,24,50,euclidean,pca
HuggingFaceBio/Carbon-500M,-12.64678,34.236732,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,0.9101119311604692,p8_ee24_lr50_euc,8,24,50,euclidean,pca
HuggingFaceBio/Carbon-3B,-15.980961,40.480698,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,0.9233890367837617,p8_ee24_lr50_euc,8,24,50,euclidean,pca
HuggingFaceBio/Carbon-8B,-17.31048,39.99953,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,0.9172279433913282,p8_ee24_lr50_euc,8,24,50,euclidean,pca
