model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
InstaDeepAI/NTv3_650M_pre_8kb,28.307936,26.644356,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre_8kb,30.684265,25.012535,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre_8kb,36.097637,23.222128,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre,28.932407,28.645227,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,27.742222,28.859951,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/agro-nucleotide-transformer-1b,23.91941,-1.4982365,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,-18.38819,-18.64573,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-28.597116,-15.145424,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-27.702387,-16.68371,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,-19.131845,-19.147537,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-28.416254,-17.914097,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-29.342644,-16.289558,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen,-28.85781,-0.26471317,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen-d256,-30.206604,0.45636356,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8684343145836461,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-tiny-16k-seqlen-d128,-27.437239,0.82572424,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8441865827118354,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-small-32k-seqlen,-26.393827,-2.1904907,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8614033701713478,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-medium-160k-seqlen,-26.824608,-0.6379851,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8750736245081588,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-medium-450k-seqlen,-25.063215,0.77813923,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8630889851052007,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/hyenadna-large-1m-seqlen,-24.496843,2.064662,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.882996050302736,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_40b_base,-56.423023,-13.233969,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.6539986300080781,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_40b,-64.14264,1.7480597,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7225756725075806,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_20b,-64.0393,2.6362536,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7171525891693636,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_7b_base,57.72548,-17.48704,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8250326130547551,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_7b_262k,59.141308,-17.254992,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8205974210922076,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_7b,58.38271,-16.11158,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8167636701690921,p5_ee24_auto_euc,5,24,auto,euclidean,pca
arcinstitute/evo2_1b_base,-13.608762,7.032828,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7342200870482283,p5_ee24_auto_euc,5,24,auto,euclidean,pca
evo-design/evo-2-7b-8k-microviridae,-17.848637,-21.194023,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.78847106815382,p5_ee24_auto_euc,5,24,auto,euclidean,pca
evo-design/evo-1-7b-131k-microviridae,-1.8751265,7.3768024,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7572457351321731,p5_ee24_auto_euc,5,24,auto,euclidean,pca
