model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
arcinstitute/evo2_1b_base,9.6244135,-7.281657,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7342200870482283,p10_ee24_cosine,10,24,auto,cosine,pca
evo-design/evo-2-7b-8k-microviridae,12.098726,5.9956245,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.78847106815382,p10_ee24_cosine,10,24,auto,cosine,pca
evo-design/evo-1-7b-131k-microviridae,2.2685022,1.1667116,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7572457351321731,p10_ee24_cosine,10,24,auto,cosine,pca
evo-design/evo-1.5-8k-base,-7.4368124,17.773151,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7909976081239937,p10_ee24_cosine,10,24,auto,cosine,pca
togethercomputer/evo-1-8k-base,4.927542,-6.3927484,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7424306370027449,p10_ee24_cosine,10,24,auto,cosine,pca
togethercomputer/evo-1-131k-base,-7.3342485,17.044174,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7954309090655141,p10_ee24_cosine,10,24,auto,cosine,pca
LongSafari/evo-1-8k-crispr,2.731815,0.12809086,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p10_ee24_cosine,10,24,auto,cosine,pca
LongSafari/evo-1-8k-transposon,2.7321362,0.12791623,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p10_ee24_cosine,10,24,auto,cosine,pca
zhihan1996/DNABERT-2-117M,18.13208,-5.953573,V_d,tsne,DNABERT-2,mlm_or_encoder,zhihan1996,0.8127822928989513,p10_ee24_cosine,10,24,auto,cosine,pca
zhihan1996/DNABERT-S,14.041151,-2.20585,V_d,tsne,DNABERT-S,mlm_or_encoder,zhihan1996,0.8142663811505192,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/moderngena-base,0.26931566,3.1801496,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.856891141667942,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/moderngena-large,-8.818504,12.281929,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.8411760746474787,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base-lastln-t2t,-3.4826248,8.80943,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8804501385629268,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base-t2t,-2.7681432,8.78569,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.875354209820089,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base,-4.5516815,8.144038,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.876633315294654,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base-t2t-multi,-3.4866357,8.216295,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8818294243347937,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-large-t2t,-3.123801,9.502534,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8802055036982036,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bigbird-base-t2t,-4.0157137,9.273711,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8564414615903444,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base-fly,-8.5070715,13.513997,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8798749389495737,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base-athaliana,-6.5705132,14.067902,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8631545556160756,p10_ee24_cosine,10,24,auto,cosine,pca
AIRI-Institute/gena-lm-bert-base-yeast,18.06908,-1.1572307,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.7947921711334538,p10_ee24_cosine,10,24,auto,cosine,pca
PoetschLab/GROVER,-5.709921,7.7852836,V_d,tsne,GROVER,mlm_or_encoder,PoetschLab,0.8671038447106474,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/PlantCAD2-Small-l24-d0768,-16.17792,4.4620857,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8884170475709195,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/PlantCAD2-Medium-l48-d1024,-16.532108,4.9104967,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8850322169556907,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/PlantCAD2-Large-l48-d1536,-16.313078,5.3584166,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8885135504845132,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERator-v2-eukaryote-1.2b-base,-21.586954,21.105185,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9160398018093819,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERator-v2-eukaryote-3b-base,-20.811636,21.821894,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9258188828698207,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERator-v2-prokaryote-1.2b-base,5.93096,-6.3959475,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8475775736175143,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERator-v2-prokaryote-3b-base,5.9667673,-4.9243474,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8647661365519584,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERator-eukaryote-1.2b-base,-21.404385,20.474447,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9123506614793109,p10_ee24_cosine,10,24,auto,cosine,pca
