model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
GenerTeam/GENERator-eukaryote-1.2b-base,11.806765,30.284405,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9123506614793109,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERator-eukaryote-3b-base,12.045546,31.794199,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9195296385996374,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERanno-prokaryote-0.5b-base,-3.4181554,24.01219,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8817084154138367,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERanno-eukaryote-0.5b-base,4.5780077,1.9777917,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8500129962518695,p8_ee36_auto_euc,8,36,auto,euclidean,pca
DOEJGI/GenomeOcean-100M-v1.2,6.0861216,19.661955,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8707547235495641,p8_ee36_auto_euc,8,36,auto,euclidean,pca
DOEJGI/GenomeOcean-500M-v1.2,7.447862,21.357052,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8839444626248475,p8_ee36_auto_euc,8,36,auto,euclidean,pca
DOEJGI/GenomeOcean-500M,6.3207026,20.792849,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8824030266739168,p8_ee36_auto_euc,8,36,auto,euclidean,pca
DOEJGI/GenomeOcean-100M,5.954837,18.5844,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8777694806568301,p8_ee36_auto_euc,8,36,auto,euclidean,pca
DOEJGI/GenomeOcean-4B,6.971047,22.403227,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8856784906711255,p8_ee36_auto_euc,8,36,auto,euclidean,pca
DOEJGI/GenomeOcean-4B-bgcFM,9.029227,19.443485,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8792286539634104,p8_ee36_auto_euc,8,36,auto,euclidean,pca
ZhejiangLab/Genos-10B-v2,1.0111554,-23.898937,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8866037169308743,p8_ee36_auto_euc,8,36,auto,euclidean,pca
ZhejiangLab/Genos-10B,1.4812,-24.158684,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8923154127981832,p8_ee36_auto_euc,8,36,auto,euclidean,pca
ZhejiangLab/Genos-1.2B,1.0262858,-19.386646,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8659398847468603,p8_ee36_auto_euc,8,36,auto,euclidean,pca
ZhejiangLab/OneGenome-Rice,14.500164,8.0545025,V_d,tsne,OneGenome,ar_or_generative,ZhejiangLab,0.851005834096549,p8_ee36_auto_euc,8,36,auto,euclidean,pca
genbio-ai/AIDO.DNA-7B,3.8092077,25.409073,V_d,tsne,AIDO.DNA,mlm_or_encoder,genbio-ai,0.8955860595416295,p8_ee36_auto_euc,8,36,auto,euclidean,pca
genbio-ai/AIDO.DNA-300M,2.1858392,19.30155,V_d,tsne,AIDO.DNA,mlm_or_encoder,genbio-ai,0.8969643969999578,p8_ee36_auto_euc,8,36,auto,euclidean,pca
Mishamq/HybriDNA-300M,-5.2469015,-34.049065,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8287939984167011,p8_ee36_auto_euc,8,36,auto,euclidean,pca
Mishamq/HybriDNA-3B,-5.3085265,-30.767916,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8946934034815327,p8_ee36_auto_euc,8,36,auto,euclidean,pca
Mishamq/HybriDNA-7B,-7.2495375,-36.10789,V_d,tsne,HybriDNA,ar_or_generative,Mishamq,0.8429952129330213,p8_ee36_auto_euc,8,36,auto,euclidean,pca
living-models/Botanic0-L,14.177192,11.735504,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8817735814987914,p8_ee36_auto_euc,8,36,auto,euclidean,pca
living-models/Botanic0-M,13.278232,11.149621,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8888156475711413,p8_ee36_auto_euc,8,36,auto,euclidean,pca
living-models/Botanic0-S,10.5198765,12.55506,V_d,tsne,Botanic0,ar_or_generative,living-models,0.8922605273901404,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-goat-5races,-10.672924,-29.025484,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7151140407337319,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-cow-5races,-10.384923,-30.261242,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7295038417692249,p8_ee36_auto_euc,8,36,auto,euclidean,pca
